score,m,n,max_score,sim
14.77333333333333,140,40,22.486666666666665,1
17.88,140,40,22.486666666666665,2
14.536666666666665,140,40,22.486666666666665,3
17.03,140,40,22.486666666666665,4
14.87333333333333,140,40,22.486666666666665,5
16.746666666666663,140,40,22.486666666666665,6
15.100000000000001,140,40,22.486666666666665,7
15.236666666666665,140,40,22.486666666666665,8
17.193333333333335,140,40,22.486666666666665,9
16.89,140,40,22.486666666666665,10
17.066666666666666,140,40,22.486666666666665,11
17.733333333333334,140,40,22.486666666666665,12
15.063333333333334,140,40,22.486666666666665,13
16.61333333333333,140,40,22.486666666666665,14
17.203333333333333,140,40,22.486666666666665,15
15.796666666666667,140,40,22.486666666666665,16
16.7,140,40,22.486666666666665,17
17.836666666666666,140,40,22.486666666666665,18
16.62333333333333,140,40,22.486666666666665,19
16.93333333333333,140,40,22.486666666666665,20
15.75,140,40,22.486666666666665,21
15.489999999999995,140,40,22.486666666666665,22
15.310000000000004,140,40,22.486666666666665,23
18.36,140,40,22.486666666666665,24
16.733333333333327,140,40,22.486666666666665,25
15.72,140,40,22.486666666666665,26
18.23333333333333,140,40,22.486666666666665,27
16.076666666666657,140,40,22.486666666666665,28
16.309999999999995,140,40,22.486666666666665,29
17.28333333333333,140,40,22.486666666666665,30
15.269999999999998,140,40,22.486666666666665,31
16.349999999999998,140,40,22.486666666666665,32
14.776666666666666,140,40,22.486666666666665,33
15.86,140,40,22.486666666666665,34
16.779999999999998,140,40,22.486666666666665,35
18.806666666666665,140,40,22.486666666666665,36
15.409999999999997,140,40,22.486666666666665,37
16.059999999999995,140,40,22.486666666666665,38
17.116666666666667,140,40,22.486666666666665,39
16.673333333333332,140,40,22.486666666666665,40
17.44333333333333,140,40,22.486666666666665,41
16.899999999999995,140,40,22.486666666666665,42
16.753333333333334,140,40,22.486666666666665,43
16.919999999999995,140,40,22.486666666666665,44
16.196666666666662,140,40,22.486666666666665,45
16.533333333333335,140,40,22.486666666666665,46
16.713333333333335,140,40,22.486666666666665,47
15.62666666666667,140,40,22.486666666666665,48
15.216666666666667,140,40,22.486666666666665,49
17.623333333333328,140,40,22.486666666666665,50
17.269999999999996,140,40,22.486666666666665,51
16.729999999999997,140,40,22.486666666666665,52
16.083333333333332,140,40,22.486666666666665,53
15.726666666666663,140,40,22.486666666666665,54
15.310000000000002,140,40,22.486666666666665,55
17.23666666666666,140,40,22.486666666666665,56
16.009999999999998,140,40,22.486666666666665,57
16.666666666666664,140,40,22.486666666666665,58
15.453333333333331,140,40,22.486666666666665,59
15.236666666666665,140,40,22.486666666666665,60
17.469999999999995,140,40,22.486666666666665,61
14.716666666666669,140,40,22.486666666666665,62
14.959999999999996,140,40,22.486666666666665,63
16.01333333333333,140,40,22.486666666666665,64
16.479999999999997,140,40,22.486666666666665,65
15.546666666666665,140,40,22.486666666666665,66
