img_shift,theta,gabor_shift,response
0,0,-8,283.58501078735435
0,0,-7,156.8146271210848
0,0,-6,85.30743903664752
0,0,-5,47.01278114534369
0,0,-4,26.187726910691172
0,0,-3,14.166265431680996
0,0,-2,7.060018947372725
0,0,-1,2.8502446824340684
0,0,0,0.0
0,0,1,3.013908199641566
0,0,2,9.351645132384832
0,0,3,22.396878548956273
0,0,4,46.87434262206179
0,0,5,90.43242429417803
0,0,6,165.97864650863983
0,0,7,293.2080360714497
0,0,8,496.9941113093974
0,45,-8,28.3770771548533
0,45,-7,14.707772047227273
0,45,-6,6.798504988410654
0,45,-5,2.559432564896326
0,45,-4,0.5457539038433983
0,45,-3,0.3873268184607665
0,45,-2,0.512712077218297
0,45,-1,0.33199051717563877
0,45,0,0.0
0,45,1,0.47853688232581526
0,45,2,1.0320644612096557
0,45,3,1.7925406577023224
0,45,4,3.308462381570006
0,45,5,6.777721974301828
0,45,6,13.937042227842394
0,45,7,27.059962701617547
0,45,8,48.925331926446155
0,90,-8,2.4162402928704183
0,90,-7,1.0768382107105114
0,90,-6,0.5067814430386525
0,90,-5,0.42746552129236454
0,90,-4,0.42309387715285157
0,90,-3,0.3656776165185974
0,90,-2,0.2658470175925649
0,90,-1,0.14092230426958358
0,90,0,0.0
0,90,1,0.16081278483844166
0,90,2,0.33900379521801854
0,90,3,0.5448081125277523
0,90,4,0.8106127532896864
0,90,5,1.2256208639521404
0,90,6,1.9765063758446886
0,90,7,3.3569903752921126
0,90,8,5.751502447764323
0,135,-8,27.332535945975295
0,135,-7,13.579487764962325
0,135,-6,5.757003248530243
0,135,-5,1.7455167058864525
0,135,-4,0.43770596010541796
0,135,-3,0.7946225995424555
0,135,-2,0.7295586121430326
0,135,-1,0.40872615338404816
0,135,0,0.0
0,135,1,0.37506220290104064
0,135,2,0.6524039217985709
0,135,3,1.0656285079947436
0,135,4,2.6105155143680627
0,135,5,6.474088845700702
0,135,6,14.154682491879615
0,135,7,27.794245278121544
0,135,8,50.07341067479372
2,0,-8,289.03162555673356
2,0,-7,163.03498829885802
2,0,-6,90.30029143232947
2,0,-5,49.21230122420767
2,0,-4,25.458346797055732
2,0,-3,11.264025872664881
2,0,-2,2.90764038890815
2,0,-1,2.6548468815191324
2,0,0,5.007160099323754
2,0,1,5.423018347517226
2,0,2,9.849475311155608
2,0,3,22.318466696745904
2,0,4,45.40966697238759
2,0,5,86.08780343619775
2,0,6,158.21594577414658
2,0,7,283.31348980150887
2,0,8,487.5103341043527
2,45,-8,26.780570615127832
2,45,-7,13.25697801293664
2,45,-6,5.833844041392335
2,45,-5,2.29718540153005
2,45,-4,0.9862524603869625
2,45,-3,0.5161900685075245
2,45,-2,0.25494461654416845
2,45,-1,0.4989424578004829
2,45,0,0.8444996861300154
2,45,1,0.9851973832391757
2,45,2,0.7959928522656516
2,45,3,0.2944613841331636
2,45,4,2.2664250586877936
2,45,5,6.643230305174206
2,45,6,14.787978741067127
2,45,7,28.797624207195277
2,45,8,51.301639413119624
2,90,-8,2.1354594551484385
2,90,-7,0.7821995753847183
2,90,-6,0.1266463884564749
2,90,-5,0.166561589953648
2,90,-4,0.19101135793131113
2,90,-3,0.10565491405239658
2,90,-2,0.022038819188607346
2,90,-1,0.1485918478074622
2,90,0,0.2516779495797304
2,90,1,0.336297666932143
2,90,2,0.4017642174118904
2,90,3,0.4778892387311605
2,90,4,0.625884730906467
2,90,5,0.9579650794657321
2,90,6,1.6576308529975246
2,90,7,2.997135105460422
2,90,8,5.348764177447031
2,135,-8,27.499898689676044
2,135,-7,13.732788625034786
2,135,-6,6.044982839910887
2,135,-5,2.2462239783571682
2,135,-4,0.7612318746352896
2,135,-3,0.36823695498720294
2,135,-2,0.2549503566142561
2,135,-1,0.5002682363903993
2,135,0,0.7958148613935146
2,135,1,0.9305012509259238
2,135,2,0.7998951662885314
2,135,3,0.7156455147458738
2,135,4,2.5011445650329303
2,135,5,6.7495638670433875
2,135,6,14.783669341778786
2,135,7,28.708516231785516
2,135,8,51.169694483638175
